sub_title,author,url,text,section,title,date
None,Sem autor,https://www.oantagonista.com/brasil/a-pgr-sera-devolvida-ao-povo-brasileiro-atraves-da-escolha-do-presidente-da-republica/,"Como publicamos, o advogado-geral da União, André Mendonça,  pelo Presidente da República, desde que obedeça aos requisitos legais, independentemente de constar ou não da lista tríplice elaborada pelos procuradores federais.O desembargador Fábio Prieto, do TRF3 aplaude a posição do AGU…“A posição ponderada do AGU retoma a linha democrática, constitucional. A PGR será devolvida ao povo brasileiro, através da escolha que será feita pelo seu representante eleito, o Presidente da República. O Senado também não poderia aceitar, na sabatina, quem eventualmente se submetesse a escolhas corporativo-sindicais, feitas por associações privadas, mas usando prédios públicos e o horário de expediente em campanhas ilegais. A Constituição diz que os procuradores são da República, não de facções privadas. É a garantia de que o Ministério é e deve ser Público.”",Brasil,"“A PGR será devolvida ao povo brasileiro, através da escolha do Presidente da República”",05/04/2019 14:21:44
None,Sem autor,https://www.oantagonista.com/brasil/tem-que-ser-um-pouco-louco-para-se-sentar-ali/,"Durante o encontro com Jair Bolsonaro no Palácio do Planalto, um jornalista perguntou a Sergio Moro se ele se via na cadeira presidencial daqui a algum tempo.Ele respondeu:“Tem que ser um pouco louco para se sentar ali.”",Brasil,“Tem que ser um pouco louco para se sentar ali”,05/04/2019 14:22:46
None,Sem autor,https://www.oantagonista.com/brasil/nunca-tomei-conhecimento-das-suas-obscenas-tucanadas-e-clintonadas/,"Olavo de Carvalho, assim como Jair Bolsonaro, também encerrou o casamento com Vélez Rodríguez, que ele levou para o altar ministerial.Ele publicou no Facebook:“Conheci o prof. Velez por seus livros sobre a história do pensamento brasileiro, publicados mais de vinte anos atrás. Nunca tomei conhecimento das suas obscenas tucanadas e clintonadas, que teriam me prevenido contra o seu comportamento traiçoeiro. Não vou fazer nada contra ele, mas garanto que não vou lamentar se o botarem para fora do ministério.”",Brasil,“Nunca tomei conhecimento das suas obscenas tucanadas e clintonadas”,05/04/2019 14:34:37
None,Sem autor,https://www.oantagonista.com/brasil/bolsa-de-apostas-no-mec/,"Eduardo Melo, que foi demitido por Ricardo Vélez, pode voltar para comandar o MEC no lugar do ministro demissionário.Ele teria a bênção da ala “antiestablishment” e de parte dos militares – sim, a ala militar se dividiu.",Brasil,Bolsa de apostas no MEC,05/04/2019 14:08:34
None,Sem autor,https://www.oantagonista.com/brasil/chega-de-entrevistas-bolsonaro/,"A extrema-imprensa é um terror.No penúltimo encontro com jornalistas no Palácio do Planalto, Jair Bolsonaro derrubou a reforma do BPC e da aposentadoria rural.Hoje ele derrubou a capitalização.Se ele fizer mais duas entrevistas coletivas, não vai sobrar nada da reforma previdenciária.",Brasil,"Chega de entrevistas, Bolsonaro",05/04/2019 14:19:26
None,Sem autor,https://www.oantagonista.com/brasil/e-incrivel-como-nossa-elite-e-passiva-diz-luciano-huck/,"Luciano Huck criticou o que chama de passividade da “elite brasileira” ao abrir a Brazil Conference, evento organizado por estudantes brasileiros em Harvard, nos EUA, registra o Estadão.“É incrível como nossa elite é passiva. Ela adora reclamar, mas na hora de botar a mão no bolso ou a mão na massa sai todo mundo correndo”, disse o apresentador da Globo.Cogitado para disputar a Presidência no ano passado, Huck sugeriu que não sairá da cena política, embora –mais uma vez– não tenha se comprometido a disputar cargo eletivo.“Quando a gente abre a caixinha para pensar políticas públicas, é difícil voltar atrás”, declarou, em referência ao seu fundo RenovaBR.",Brasil,"‘É incrível como nossa elite é passiva’, diz Luciano Huck",05/04/2019 14:46:07
None,Sem autor,https://www.oantagonista.com/brasil/a-lista-dos-jornalistas-recebidos-por-bolsonaro/,"Eis os jornalistas que Jair Bolsonaro recebeu hoje, para um café:– Sérgio D’Ávila – Folha de S Paulo
– João Fábio Caminoto – Estado de S Paulo
– Alan Gripp – O Globo
– Paulo Celso – O Globo
– Vera Brandimarte – Valor Econômico
– Aruana Brianezi – A Crítica
– Linda Bezerra – Correio da Bahia
– Carlos Marcelo Carvalho – Estado de Minas
– Leusa Santos – Folha de Pernambuco
– Leonardo Mendes Júnior – Gazeta do Povo
– Gerson Camarotti – Globo News
– Natuza Nery – Globo News
– Luciana Gimenez – Rede TV
– Edu Ribeiro – Record
– Carlos Etchichury – Zero Hora",Brasil,A lista dos jornalistas recebidos por Bolsonaro,05/04/2019 13:34:33
None,Sem autor,https://www.oantagonista.com/brasil/ninguem-mais-quer-cargos/,"Nas conversas com Jair Bolsonaro, os caciques partidários nem tocam mais no assunto “cargos”.Como já sabem a resposta, desistiram de pedir e já decidiram que não vão integrar a base do governo.E que a reforma da Previdência será aprovada por ser uma necessidade.",Brasil,Ninguém mais quer cargos,05/04/2019 14:00:49
None,Sem autor,https://www.oantagonista.com/brasil/bolsonaro-pesquisas-sao-confiaveis/,"Jair Bolsonaro, em evento no Palácio do Planalto, defendeu as pesquisas:“No momento, as pesquisas não são eleitorais, então são confiáveis.”Ele está certo. Os números podem estar ligeiramente errados, mas indicam uma tendência.",Brasil,Bolsonaro: “Pesquisas são confiáveis”,05/04/2019 14:04:39
None,Sem autor,https://www.oantagonista.com/brasil/velez-a-unanimidade-bolsonarista/,"Sim, os militares querem mesmo a cabeça de Ricardo Vélez, como publicam os jornais, porque acham também que a defesa que ele fez de 1964…",Brasil,"Vélez, a unanimidade bolsonarista",05/04/2019 14:05:17
